SuccRate=0.5288, ACC=0.4153, MRR=0.4153, MAP=0.4153, nDCG=0.4153
SuccRate=0.5285, ACC=0.4162, MRR=0.4162, MAP=0.4162, nDCG=0.4162
SuccRate=0.5299, ACC=0.4122, MRR=0.4122, MAP=0.4122, nDCG=0.4122
SuccRate=0.5287, ACC=0.4123, MRR=0.4123, MAP=0.4123, nDCG=0.4123
SuccRate=0.5338, ACC=0.4187, MRR=0.4187, MAP=0.4187, nDCG=0.4187
SuccRate=0.5247, ACC=0.4112, MRR=0.4112, MAP=0.4112, nDCG=0.4112
SuccRate=0.5309, ACC=0.4173, MRR=0.4173, MAP=0.4173, nDCG=0.4173
SuccRate=0.5314, ACC=0.4191, MRR=0.4191, MAP=0.4191, nDCG=0.4191
SuccRate=0.5302, ACC=0.4144, MRR=0.4144, MAP=0.4144, nDCG=0.4144
SuccRate=0.5269, ACC=0.4124, MRR=0.4124, MAP=0.4124, nDCG=0.4124
SuccRate=0.7815, ACC=0.7704, MRR=0.5352447619047606, MAP=0.5352447619047606, nDCG=0.5918306155621537
SuccRate=0.7775, ACC=0.7667, MRR=0.5371526587301572, MAP=0.5371526587301572, nDCG=0.5923601946053806
SuccRate=0.7821, ACC=0.7716, MRR=0.5403126587301568, MAP=0.5403126587301568, nDCG=0.5957755810307714
SuccRate=0.7785, ACC=0.7663, MRR=0.542749563492061, MAP=0.542749563492061, nDCG=0.5964619912415942
SuccRate=0.78, ACC=0.7671, MRR=0.5406728571428546, MAP=0.5406728571428546, nDCG=0.5950505518277484
SuccRate=0.7762, ACC=0.7669, MRR=0.5359634126984121, MAP=0.5359634126984121, nDCG=0.5913278942703966
SuccRate=0.779, ACC=0.7669, MRR=0.5406654761904746, MAP=0.5406654761904746, nDCG=0.5950816734884464
SuccRate=0.7772, ACC=0.7661, MRR=0.5388978571428549, MAP=0.5388978571428549, nDCG=0.5935012080300807
SuccRate=0.7811, ACC=0.7696, MRR=0.5385571031746015, MAP=0.5385571031746015, nDCG=0.5940848386326375
SuccRate=0.7805, ACC=0.7694, MRR=0.5366701984126961, MAP=0.5366701984126961, nDCG=0.5925125733084889
SuccRate=0.7033, ACC=0.6821, MRR=0.5318099999999959, MAP=0.5318099999999959, nDCG=0.5694463768971492
SuccRate=0.7034, ACC=0.6812, MRR=0.527263333333329, MAP=0.527263333333329, nDCG=0.5657512572857686
SuccRate=0.7024, ACC=0.6833, MRR=0.5274549999999962, MAP=0.5274549999999962, nDCG=0.5664579211432228
SuccRate=0.7032, ACC=0.6812, MRR=0.5270083333333286, MAP=0.5270083333333286, nDCG=0.5655462518302941
SuccRate=0.7063, ACC=0.6825, MRR=0.5276083333333289, MAP=0.5276083333333289, nDCG=0.5664233198110944
SuccRate=0.7073, ACC=0.6848, MRR=0.5290199999999962, MAP=0.5290199999999962, nDCG=0.5679880555258797
SuccRate=0.6895, ACC=0.6678, MRR=0.5153049999999959, MAP=0.5153049999999959, nDCG=0.5534197175248659
SuccRate=0.6998, ACC=0.6775, MRR=0.525251666666663, MAP=0.525251666666663, nDCG=0.5633556600973323
SuccRate=0.7074, ACC=0.6845, MRR=0.5295133333333294, MAP=0.5295133333333294, nDCG=0.5682846412294642
SuccRate=0.7063, ACC=0.6849, MRR=0.5281166666666629, MAP=0.5281166666666629, nDCG=0.5673217881848166
SuccRate=0.5449, ACC=0.4229, MRR=0.4229, MAP=0.4229, nDCG=0.4229
SuccRate=0.5433, ACC=0.4244, MRR=0.4244, MAP=0.4244, nDCG=0.4244
SuccRate=0.5469, ACC=0.4308, MRR=0.4308, MAP=0.4308, nDCG=0.4308
SuccRate=0.5435, ACC=0.43, MRR=0.43, MAP=0.43, nDCG=0.43
SuccRate=0.5415, ACC=0.4301, MRR=0.4301, MAP=0.4301, nDCG=0.4301
SuccRate=0.5429, ACC=0.4256, MRR=0.4256, MAP=0.4256, nDCG=0.4256
SuccRate=0.5457, ACC=0.4285, MRR=0.4285, MAP=0.4285, nDCG=0.4285
SuccRate=0.5407, ACC=0.4178, MRR=0.4178, MAP=0.4178, nDCG=0.4178
SuccRate=0.5421, ACC=0.4278, MRR=0.4278, MAP=0.4278, nDCG=0.4278
SuccRate=0.5453, ACC=0.4293, MRR=0.4293, MAP=0.4293, nDCG=0.4293
